epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,2285.17,1.1891,0.60282,0.99654,0.77372,0.69715,0.76454,0.47486,1.62187,0.89327,1.21892,2.82345e-05,2.82345e-05,2.82345e-05
139,2300.74,1.20489,0.60855,1.01532,0.77765,0.70735,0.7684,0.4785,1.61221,0.88743,1.21387,2.55513e-05,2.55513e-05,2.55513e-05
140,2316.33,1.19569,0.60029,1.0068,0.77433,0.69764,0.76985,0.48399,1.59985,0.89786,1.20479,2.30784e-05,2.30784e-05,2.30784e-05
141,2332.01,1.2012,0.60644,1.01194,0.75074,0.71429,0.76754,0.48531,1.58818,0.89854,1.198,2.08169e-05,2.08169e-05,2.08169e-05
142,2347.48,1.1848,0.60069,1.00292,0.73975,0.72538,0.76845,0.48735,1.59091,0.89972,1.19577,1.87678e-05,1.87678e-05,1.87678e-05
143,2363.16,1.19083,0.60205,1.00505,0.74184,0.72538,0.76858,0.48703,1.59431,0.90316,1.19455,1.6932e-05,1.6932e-05,1.6932e-05
144,2378.76,1.18478,0.59564,0.9924,0.74322,0.72261,0.76716,0.48604,1.59839,0.9055,1.19307,1.53102e-05,1.53102e-05,1.53102e-05
145,2394.42,1.17712,0.59108,0.99283,0.75865,0.70596,0.7646,0.48567,1.59227,0.90141,1.19076,1.39032e-05,1.39032e-05,1.39032e-05
146,2410.2,1.18821,0.59511,1.00006,0.77045,0.69827,0.76784,0.48439,1.58957,0.89998,1.1891,1.27117e-05,1.27117e-05,1.27117e-05
147,2425.95,1.17992,0.60093,0.99786,0.75349,0.71429,0.76696,0.48578,1.59234,0.90309,1.19057,1.1736e-05,1.1736e-05,1.1736e-05
148,2442.03,1.18106,0.59665,0.99261,0.7588,0.71012,0.76652,0.48439,1.59655,0.90064,1.1909,1.09768e-05,1.09768e-05,1.09768e-05
149,2457.84,1.18257,0.58779,0.99571,0.75182,0.71429,0.76666,0.48671,1.59422,0.90666,1.19052,1.04342e-05,1.04342e-05,1.04342e-05
150,2473.74,1.18756,0.59678,0.99968,0.76201,0.70319,0.76592,0.48662,1.58806,0.90021,1.18961,1.01086e-05,1.01086e-05,1.01086e-05
